DR1ILINE,DR1DRSTZ,DRABF,DR1DAY,DR1LANG,DR1CCMTX,DR1_030Z,DR1FS,DR1_040Z,DR1IGRMS
3,1,2,4,1,5.40E-79,1,,1,1079.1
4,1,2,4,1,5.40E-79,1,1,1,92
5,1,2,4,1,5.40E-79,1,1,1,126
6,1,2,4,1,5,2,1,1,140
7,1,2,4,1,5,2,1,1,72
8,1,2,4,1,5,2,1,1,17
9,1,2,4,1,5,2,1,1,42
13,1,2,4,1,1,2,1,1,359.7
14,1,2,4,1,1,2,1,1,0.33
15,1,2,4,1,5.40E-79,2,1,1,37.41
16,1,2,4,1,5.40E-79,2,1,1,90
17,1,2,4,1,5.40E-79,2,,1,1079.1
18,1,2,4,1,5.40E-79,4,1,1,70
19,1,2,4,1,5.40E-79,4,1,1,236.25
20,1,2,4,1,9,4,1,1,90
21,1,2,4,1,9,4,1,1,45
22,1,2,4,1,5.40E-79,4,,1,719.4
23,1,2,4,1,9,4,1,1,37.5
24,1,2,4,1,9,4,1,1,30
25,1,2,4,1,9,4,1,1,108.04
26,1,2,4,1,9,4,1,1,40.2
1,1,2,1,1,5.40E-79,6,27,1,42
2,1,2,1,1,5.40E-79,6,,1,615
3,1,2,1,1,5.40E-79,9,,1,2610
4,1,2,1,1,5.40E-79,2,3,1,175
5,1,2,1,1,5.40E-79,2,3,1,110
6,1,2,1,1,5.40E-79,2,3,1,60
7,1,2,1,1,5.40E-79,2,3,1,90
8,1,2,1,1,5.40E-79,7,4,2,675
9,1,2,1,1,5,4,2,2,32
10,1,2,1,1,5,4,2,2,62
11,1,2,1,1,5,4,2,2,14
12,1,2,1,1,5,4,2,2,20
13,1,2,1,1,5,4,2,2,8
1,1,2,1,1,2,1,27,1,229.5
2,1,2,1,1,2,1,27,1,1166.63
3,1,2,1,1,5,2,27,1,180
4,1,2,1,1,5,2,27,1,50
5,1,2,1,1,5.40E-79,2,27,1,57
6,1,2,1,1,5.40E-79,2,27,1,372
7,1,2,1,1,5.40E-79,6,27,1,84
8,1,2,1,1,5.40E-79,6,27,1,562.73
9,1,2,1,1,5.40E-79,6,27,1,36
10,1,2,1,1,5.40E-79,6,,1,480
1,1,2,4,1,5,2,3,1,186.2
2,1,2,4,1,5,2,3,1,10.64
3,1,2,4,1,5,2,3,1,21.28
4,1,2,4,1,5.40E-79,2,3,1,82.5
5,1,2,4,1,5.40E-79,2,3,1,525
6,1,2,4,1,5.40E-79,2,,1,435
7,1,2,4,1,5,4,16,2,180
8,1,2,4,1,5,4,16,2,14
9,1,2,4,1,5.40E-79,4,16,2,11.25
10,1,2,4,1,5.40E-79,4,,2,1320
11,1,2,4,1,8,6,3,2,240
12,1,2,4,1,8,6,3,2,22
13,1,2,4,1,8,6,3,2,10
14,1,2,4,1,8,6,3,2,21
15,1,2,4,1,5.40E-79,7,,1,330
1,1,2,4,1,5.40E-79,1,1,1,210
2,1,2,4,1,5.40E-79,1,1,1,55
3,1,2,4,1,5.40E-79,1,1,1,20
4,1,2,4,1,5.40E-79,9,1,1,1530
5,1,2,4,1,5.40E-79,2,1,1,126
6,1,2,4,1,5,3,1,1,52
7,1,2,4,1,5,3,1,1,56
9,1,2,4,1,5,3,1,1,21
11,1,2,4,1,5.40E-79,9,1,1,255
12,1,2,4,1,5.40E-79,4,1,1,14
13,1,2,4,1,5.40E-79,4,1,1,100.5
14,1,2,4,1,5.40E-79,4,1,1,140
15,1,2,4,1,5.40E-79,4,1,1,180
16,1,2,4,1,5.40E-79,5,1,1,14
17,1,2,4,1,5.40E-79,6,1,1,46.66
18,1,2,4,1,5.40E-79,6,1,1,120
1,1,2,2,1,5.40E-79,6,1,2,28
2,1,2,2,1,5.40E-79,6,1,2,28
3,1,2,2,1,3,1,1,2,146.24
4,1,2,2,1,3,1,1,2,80
5,1,2,2,1,5.40E-79,1,1,2,19
6,1,2,2,1,5.40E-79,1,1,2,70
7,1,2,2,1,1,1,1,2,248
8,1,2,2,1,1,1,1,2,14.4
9,1,2,2,1,5.40E-79,6,27,2,23.5
10,1,2,2,1,5.40E-79,2,1,2,120
11,1,2,2,1,5.40E-79,2,1,2,140
12,1,2,2,1,5.40E-79,4,3,2,256
13,1,2,2,1,5.40E-79,4,3,2,11.25
14,1,2,2,1,12,4,3,2,100
15,1,2,2,1,12,4,3,2,28
16,1,2,2,1,5.40E-79,4,3,2,145
1,1,2,1,2,5.40E-79,10,1,1,210
2,1,2,1,2,1,10,16,2,240
3,1,2,1,2,1,10,16,2,5.08
4,1,2,1,2,5.40E-79,10,6,2,132
5,1,2,1,2,5.40E-79,10,6,2,45
6,1,2,1,2,5.40E-79,14,3,1,101.25
7,1,2,1,2,90,14,1,1,80
8,1,2,1,2,90,14,1,1,40.25
9,1,2,1,2,5.40E-79,14,1,1,360
10,1,2,1,2,5.40E-79,14,2,1,533.75
11,1,2,1,2,1,14,2,1,330
12,1,2,1,2,1,14,2,1,2.54
13,1,2,1,2,5.40E-79,14,2,1,6
1,1,2,6,1,2,1,1,1,27
2,1,2,6,1,2,1,1,1,122.01
3,1,2,6,1,6,2,1,1,174.75
4,1,2,6,1,6,2,1,1,2.67
5,1,2,6,1,5.40E-79,2,,1,150
6,1,2,6,1,5.40E-79,3,25,1,170
7,1,2,6,1,5.40E-79,6,24,2,8.25
8,1,2,6,1,5.40E-79,6,24,2,471.5
1,1,2,7,1,5.40E-79,9,1,1,4563
2,1,2,7,1,5.40E-79,1,3,2,165
3,1,2,7,1,5.40E-79,1,3,2,56
4,1,2,7,1,1,7,27,2,44
5,1,2,7,1,1,7,,2,507
6,1,2,7,1,1,7,27,2,44
7,1,2,7,1,1,7,,2,507
8,1,2,7,1,5,3,2,1,28
9,1,2,7,1,5,3,2,1,135
10,1,2,7,1,5,3,2,1,20
11,1,2,7,1,5,3,2,1,8
12,1,2,7,1,5,3,2,1,15
1,1,2,6,2,5.40E-79,11,1,1,141
2,1,2,6,2,5.40E-79,11,1,1,69.38
3,1,2,6,2,5.40E-79,11,1,1,155
4,1,2,6,2,5.40E-79,16,7,2,244
